,_id,ltable_id,rtable_id,ltable_Name,ltable_Phone,ltable_Zipcode,ltable_State,ltable_City,ltable_Address,ltable_Delivery,ltable_Takeout,ltable_Outdoor_seating,rtable_Name,rtable_Phone,rtable_Zipcode,rtable_State,rtable_City,rtable_Address,rtable_Delivery,rtable_Takeout,rtable_Outdoor_seating
26899,26899,60,533,Au Cheval,(312) 929-4580,60607.0,IL,Chicago,800 W Randolph S,0,0,0,Alhambra Palace,(312) 666-9555,60607.0,IL,Chicago,1240 West Randolph Street,0,1,1
26964,26964,660,533,Macello,(312) 850-9870,60607.0,IL,Chicago,1235 W Lake St,1,1,1,Alhambra Palace,(312) 666-9555,60607.0,IL,Chicago,1240 West Randolph Street,0,1,1
26976,26976,703,533,Sweet Maple Cafe,(312) 243-8908,60607.0,IL,Chicago,1339 W Taylor St,0,1,0,Alhambra Palace,(312) 666-9555,60607.0,IL,Chicago,1240 West Randolph Street,0,1,1
27235,27235,2740,1545,Absinthe Brasserie & Bar,(415) 551-1590,94102.0,CA,San Francisco,398 Hayes St,0,1,1,Absinthe,(415) 551-1590,94102.0,CA,San Francisco,398 Hayes Street,0,1,1
27373,27373,942,1261,Aquagrill,(212) 274-0505,10012.0,NY,New York,210 Spring Street,0,1,1,Chef's Club By Food and Wine,(212) 941-1100,10012.0,NY,New York,275 Mulberry Street,0,0,0
27377,27377,1299,1261,Chefs Club by Food & Wine,(212) 941-1100,10012.0,NY,New York,275 Mulberry St,0,0,0,Chef's Club By Food and Wine,(212) 941-1100,10012.0,NY,New York,275 Mulberry Street,0,0,0
27446,27446,2638,1594,Range Restaurant,(415) 282-8283,94110.0,CA,San Francisco,842 Valencia St,0,0,0,Range,(415) 282-8283,94110.0,CA,San Francisco,842 Valencia Street,0,1,0
27449,27449,2754,1594,Udupi Palace,(415) 970-8000,94110.0,CA,San Francisco,1007 Valencia St,1,1,0,Range,(415) 282-8283,94110.0,CA,San Francisco,842 Valencia Street,0,1,0
27457,27457,3009,1594,Ritual Coffee Roasters,(415) 641-1011,94110.0,CA,San Francisco,1026 Valencia St,0,1,0,Range,(415) 282-8283,94110.0,CA,San Francisco,842 Valencia Street,0,1,0
27460,27460,3072,1594,Bangkok Bistro,(415) 935-8424,94110.0,CA,San Francisco,530 Valencia St,1,1,0,Range,(415) 282-8283,94110.0,CA,San Francisco,842 Valencia Street,0,1,0
27467,27467,2661,1930,Sweet Maple,(415) 655-9169,94115.0,CA,San Francisco,2101 Sutter St,0,1,1,Suzu Noodle House,(415) 346-5083,94115.0,CA,San Francisco,Japan Center,0,0,0
27488,27488,1994,3464,Wedgwood II Vegetarian Thai,(206) 724-0655,98102.0,WA,Seattle,420 Broadway E,0,1,0,Rom Mai Thai,(206) 726-9058,98102.0,WA,Seattle,613 Broadway E,1,1,1
27515,27515,3058,2241,Pica Pica Arepa Kitchen,(628) 400-5744,94103.0,CA,San Francisco,401 Valencia St,1,1,0,Pica Pica Arepa Kitchen,(414) 400-5453,94103.0,CA,San Francisco,401 Valencia Street,1,1,0
27593,27593,2690,2164,Swan Oyster Depot,(415) 673-1101,94109.0,CA,San Francisco,1517 Polk St,0,1,0,Darbar,(415) 359-1236,94109.0,CA,San Francisco,1412 Polk Street,1,1,0
27624,27624,2702,2237,Leopold’s,(415) 474-2000,94109.0,CA,San Francisco,2400 Polk St,0,0,0,Leopold's,(415) 474-2000,94109.0,CA,San Francisco,2400 Polk Street,0,0,0
27791,27791,434,623,Volare Ristorante Italiano,(312) 410-9900,60611.0,IL,Chicago,201 E Grand Ave,1,1,1,Pelago Ristorante,(312) 280-0700,60611.0,IL,Chicago,201 E Delaware Plaza,0,1,1
27796,27796,765,623,Original Pancake House,(312) 642-7917,60611.0,IL,Chicago,22 E Bellevue Pl,0,1,1,Pelago Ristorante,(312) 280-0700,60611.0,IL,Chicago,201 E Delaware Plaza,0,1,1
28149,28149,1289,735,Peter Luger Steak House,(718) 387-7400,11211.0,NY,Brooklyn,178 Broadway,0,0,0,Peter Luger Steak House,(718) 387-7400,11211.0,NY,Brooklyn,178 Broadway,0,0,0
28221,28221,3001,2035,Stella Pastry & Cafe,(415) 986-2914,94133.0,CA,San Francisco,446 Columbus Ave,0,1,0,Mario's Bohemian Cigar Store Cafe,(415) 362-0536,94133.0,CA,San Francisco,566 Columbus Avenue,0,0,1
28241,28241,2582,2035,Italian Homemade Company,(415) 712-8874,94133.0,CA,San Francisco,716 Columbus Ave,0,1,1,Mario's Bohemian Cigar Store Cafe,(415) 362-0536,94133.0,CA,San Francisco,566 Columbus Avenue,0,0,1
28242,28242,2601,2035,Molinari Delicatessen,(415) 421-2337,94133.0,CA,San Francisco,373 Columbus Ave,0,1,1,Mario's Bohemian Cigar Store Cafe,(415) 362-0536,94133.0,CA,San Francisco,566 Columbus Avenue,0,0,1
28246,28246,2774,2035,Il Casaro Pizzeria & Mozzarella Bar,(415) 677-9455,94133.0,CA,San Francisco,348 Columbus Ave,0,1,0,Mario's Bohemian Cigar Store Cafe,(415) 362-0536,94133.0,CA,San Francisco,566 Columbus Avenue,0,0,1
28273,28273,2720,1644,Church Street Groceteria,(415) 660-5147,94114.0,CA,San Francisco,300 Church St,0,1,0,Starbelly,(415) 252-7500,94114.0,CA,San Francisco,3583 16th Street,0,1,1
28384,28384,1568,1264,Flinders Lane,(212) 228-6900,10009.0,NY,New York,162 Ave A,0,1,0,Zum Schneider,(212) 598-1098,10009.0,NY,New York,107 Avenue C,0,1,1
28409,28409,2742,1991,Arinell Pizza,(415) 255-1303,94110.0,CA,San Francisco,509 Valencia St,0,1,0,Frjtz Valencia,(415) 863-8272,94110.0,CA,San Francisco,591 Valencia Street,1,1,1
28470,28470,2252,3393,Seatown Seabar & Rotisserie,(206) 436-0390,98121.0,WA,Seattle,2010 Western Ave,0,1,1,Seatown Seabar & Rotisserie,(206) 436-0390,98121.0,WA,Seattle,2010 Western Avenue,0,1,1
28721,28721,500,3198,Bobtail Ice Cream Company,(773) 880-7372,60657.0,IL,Chicago,2951 N Broadway St,0,1,1,Joy's Noodles and Rice,(773) 327-8330,60657.0,IL,Chicago,3257 North Broadway Street,1,1,1
28726,28726,767,3198,Shiawase Restaurant,(773) 883-8888,60657.0,IL,Chicago,3422 N Broadway St,1,1,1,Joy's Noodles and Rice,(773) 327-8330,60657.0,IL,Chicago,3257 North Broadway Street,1,1,1
29014,29014,913,986,Mamoun’s Falafel,(212) 674-8685,10012.0,NY,New York,119 MacDougal St,0,1,1,Hundred Acres,(212) 475-7500,10012.0,NY,New York,38 MacDougal Street,0,1,0
29176,29176,395,3257,Chicago q,(312) 642-1160,60610.0,IL,Chicago,1160 N Dearborn St,0,1,1,Chicago Q,(312) 642-1160,60610.0,IL,Chicago,1160 N Dearborn Street,0,1,1
29323,29323,3001,1799,Stella Pastry & Cafe,(415) 986-2914,94133.0,CA,San Francisco,446 Columbus Ave,0,1,0,Curry Leaf,(415) 440-4293,94133.0,CA,San Francisco,943 Columbus Avenue,0,1,0
29337,29337,2974,1799,Curry Leaf,(415) 440-4293,94133.0,CA,San Francisco,943 Columbus Ave,0,1,1,Curry Leaf,(415) 440-4293,94133.0,CA,San Francisco,943 Columbus Avenue,0,1,0
29405,29405,2893,1513,Hog Island Oyster Co,(415) 391-7117,94111.0,CA,San Francisco,1 Ferry Bldg,0,0,1,Hog Island Oyster Company,(415) 391-7117,94111.0,CA,San Francisco,Ferry Building,0,0,0
29406,29406,3018,1513,Humphry Slocombe Ice Cream,(415) 550-6971,94111.0,CA,San Francisco,1 Ferry Bldg,0,1,0,Hog Island Oyster Company,(415) 391-7117,94111.0,CA,San Francisco,Ferry Building,0,0,0
29434,29434,2498,1622,Espetus Brazilian Steak House,(415) 552-8792,94102.0,CA,San Francisco,1686 Market St,0,0,0,Cafe Mason,(415) 544-0320,94102.0,CA,San Francisco,312 Mason Street,0,1,0
29479,29479,2655,2162,Parada 22,(415) 750-1111,94117.0,CA,San Francisco,1805 Haight St,1,1,0,Parada 22,(415) 750-1111,94117.0,CA,San Francisco,1805 Haight Street,0,0,0
29501,29501,2931,2162,Pork Store Cafe,(415) 864-6981,94117.0,CA,San Francisco,1451 Haight St,0,1,0,Parada 22,(415) 750-1111,94117.0,CA,San Francisco,1805 Haight Street,0,0,0
29720,29720,796,142,O’s Tap,(773) 342-8945,60647.0,IL,Chicago,2044 N Western Ave,0,0,0,Map Room,(773) 252-7636,60647.0,IL,Chicago,1949 N. Hoyne Avenue,0,0,0
29734,29734,289,142,The Map Room,(773) 252-7636,60647.0,IL,Chicago,1949 N Hoyne Ave,0,0,0,Map Room,(773) 252-7636,60647.0,IL,Chicago,1949 N. Hoyne Avenue,0,0,0
30138,30138,1701,3282,Metropolitan Grill,(206) 624-3287,98104.0,WA,Seattle,820 2nd Ave,0,1,0,Metropolitan Grill,(206) 624-3287,98104.0,WA,Seattle,820 2nd Avenue,0,1,0
30243,30243,2128,3453,Le Petit Cochon,(206) 829-8943,98103.0,WA,Seattle,701 N 36th St,0,0,0,Agrodolce,(206) 547-9707,98103.0,WA,Seattle,709 North 35th Street,0,1,1
30333,30333,1020,1346,B Side Pizza & Wine Bar,(646) 679-7225,10019.0,NY,New York,370 W 51st St,0,1,0,Benihana,(212) 581-0930,10019.0,NY,New York,47 W 56th Street,1,1,1
30372,30372,3047,2334,Atlas Cafe,(415) 648-1047,94110.0,CA,San Francisco,3049 20th St,0,1,1,Balompie Cafe,(415) 648-9199,94110.0,CA,San Francisco,3349 18th Street,0,1,0
30373,30373,3055,2334,Velvet Cantina,(415) 648-4142,94110.0,CA,San Francisco,3349 23rd St,0,1,0,Balompie Cafe,(415) 648-9199,94110.0,CA,San Francisco,3349 18th Street,0,1,0
30728,30728,1506,1375,Lincoln Square Steak,(212) 875-8600,10023.0,NY,New York,208 W 70th St,0,1,0,Picholine,(212) 724-8585,10023.0,NY,New York,35 W 64th Street,0,0,0
30771,30771,1366,1126,Il Tinello Ristorante Italiano,(212) 245-4388,10019.0,NY,New York,16 W 56th St,0,0,0,Russian Tea Room,(212) 581-7100,10019.0,NY,New York,150 W 57th Street,0,0,0
30901,30901,2361,3383,An Nam Pho,(206) 466-2179,98115.0,WA,Seattle,6510 Roosevelt Way NE,0,1,0,Rosita's Mexican Grill,(206) 523-3031,98115.0,WA,Seattle,7210 Woodlawn Avenue NE,0,1,0
31189,31189,2221,3277,Pike’s Pit Bar-B-Que,(206) 538-0779,98101.0,WA,Seattle,1505 Pike Place Market,0,1,1,Pink Door,(206) 443-3241,98101.0,WA,Seattle,Pike Place Market,0,1,1
31320,31320,1025,892,Scarpetta,(212) 691-0555,10014.0,NY,New York,355 W 14th St,0,0,1,Scarpetta,(212) 691-0555,10014.0,NY,New York,355 W 14th Street,0,1,1
31359,31359,2827,1869,Fino Ristorante & Bar,(415) 928-2080,94109.0,CA,San Francisco,624 Post St,0,0,0,Fino,(415) 928-2080,94109.0,CA,San Francisco,624 Post Street,0,0,0
31366,31366,2865,1869,farm : table,,94109.0,CA,San Francisco,754 Post St,0,1,1,Fino,(415) 928-2080,94109.0,CA,San Francisco,624 Post Street,0,0,0
31440,31440,243,289,Beatrix River North,(312) 284-1377,60654.0,IL,Chicago,519 North Clark Street,0,1,1,Beatrix,(312) 284-1377,60654.0,IL,Chicago,519 N Clark Street,0,1,1
31827,31827,3067,2250,Gialina Pizzeria,(415) 239-8500,94131.0,CA,San Francisco,2842 Diamond St,0,1,0,La Corneta Taqueria,(415) 469-8757,94131.0,CA,San Francisco,2834 Diamond Street,0,1,0
32205,32205,653,364,Pierrot Gourmet,(312) 573-6749,60611.0,IL,Chicago,108 E Superior St,0,1,1,Shanghai Terrace,(312) 573-6744,60611.0,IL,Chicago,108 E. Superior Street,0,1,1
32228,32228,2400,3445,Ton Kiang Barbeque Noodle House,(206) 622-3388,98104.0,WA,Seattle,668 S Weller St,0,1,0,Zeitgeist Coffee,(206) 583-0497,98104.0,WA,Seattle,171 S Jackson Street,0,1,1
32262,32262,1996,3445,Zeitgeist Kunst & Kaffee,(206) 583-0497,98104.0,WA,Seattle,171 S Jackson St,0,1,1,Zeitgeist Coffee,(206) 583-0497,98104.0,WA,Seattle,171 S Jackson Street,0,1,1
32276,32276,1101,820,The Halal Guys,,10019.0,NY,New York,W 53rd St 6th Ave,0,1,1,The Dining Room at The Modern,(212) 333-1220,10019.0,NY,New York,9 W 53rd Street,0,0,0
32282,32282,1434,820,The Modern,(212) 333-1220,10019.0,NY,New York,9 W 53rd St,0,0,0,The Dining Room at The Modern,(212) 333-1220,10019.0,NY,New York,9 W 53rd Street,0,0,0
32296,32296,2363,3337,Linda’s Tavern,(206) 325-1220,98122.0,WA,Seattle,707 E Pine St,0,1,1,Poquitos,(206) 453-4216,98122.0,WA,Seattle,1000 E Pike Street,0,1,1
32339,32339,1770,3337,Quinn’s,(206) 325-7711,98122.0,WA,Seattle,1001 E Pike St,0,0,0,Poquitos,(206) 453-4216,98122.0,WA,Seattle,1000 E Pike Street,0,1,1
32342,32342,1902,3337,Skillet Capitol Hill,(206) 512-2001,98122.0,WA,Seattle,1400 E Union St,0,1,1,Poquitos,(206) 453-4216,98122.0,WA,Seattle,1000 E Pike Street,0,1,1
32393,32393,2491,2016,El Farolito,(415) 824-7877,94110.0,CA,San Francisco,2779 Mission St,0,1,0,Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission District Street,0,1,0
32395,32395,2507,2016,Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission St,0,0,0,Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission District Street,0,1,0
32401,32401,2640,2016,La Taqueria,(415) 285-7117,94110.0,CA,San Francisco,2889 Mission St,0,1,1,Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission District Street,0,1,0
32402,32402,2659,2016,Taqueria Cancún,(415) 252-9560,94110.0,CA,San Francisco,2288 Mission St,0,1,0,Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission District Street,0,1,0
32422,32422,3048,2016,La Santaneca,(415) 648-1034,94110.0,CA,San Francisco,3781 Mission St,0,1,0,Lolinda,(415) 550-6970,94110.0,CA,San Francisco,2518 Mission District Street,0,1,0
32469,32469,823,1016,Gramercy Tavern,(212) 477-0777,10003.0,NY,New York,42 E 20th St,0,0,0,Angelica Kitchen,(212) 228-2909,10003.0,NY,New York,300 E 12th Street,0,1,0
32489,32489,1186,1016,Cha-An,(212) 228-8030,10003.0,NY,New York,230 E 9th St,0,1,0,Angelica Kitchen,(212) 228-2909,10003.0,NY,New York,300 E 12th Street,0,1,0
32491,32491,892,1016,Gotham Bar and Grill,(212) 620-4020,10003.0,NY,New York,12 E 12th St,0,0,0,Angelica Kitchen,(212) 228-2909,10003.0,NY,New York,300 E 12th Street,0,1,0
32953,32953,212,6,The Purple Pig,(312) 464-1744,60611.0,IL,Chicago,500 N Michigan Ave,0,0,1,The Purple Pig,(312) 464-1744,60611.0,IL,Chicago,500 N Michigan Avenue,0,1,1
33035,33035,535,6,Bongiorno’s Italian Deli & Pizzeria,(312) 755-1255,60611.0,IL,Chicago,405 N Wabash Ave,1,1,1,The Purple Pig,(312) 464-1744,60611.0,IL,Chicago,500 N Michigan Avenue,0,1,1
33418,33418,115,449,Wasabi,(773) 227-8180,60647.0,IL,Chicago,2115 N Milwaukee Ave,0,1,1,Wasabi,(773) 227-8180,60647.0,IL,Chicago,2115 N Milwaukee Avenue,0,1,0
33493,33493,2601,1652,Molinari Delicatessen,(415) 421-2337,94133.0,CA,San Francisco,373 Columbus Ave,0,1,1,Molinari Delicatessen,(415) 421-2337,94133.0,CA,San Francisco,373 Columbus Avenue,0,1,1
33497,33497,2774,1652,Il Casaro Pizzeria & Mozzarella Bar,(415) 677-9455,94133.0,CA,San Francisco,348 Columbus Ave,0,1,0,Molinari Delicatessen,(415) 421-2337,94133.0,CA,San Francisco,373 Columbus Avenue,0,1,1
33534,33534,361,616,Revolution Brewing,(773) 227-2739,60647.0,IL,Chicago,2323 N Milwaukee Ave,0,1,0,Webster's Wine Bar,(773) 292-9463,60647.0,IL,Chicago,2601 N. Milwaukee Avenue,0,0,0
33546,33546,547,616,Mindy’s Hot Chocolate,(773) 489-1747,60647.0,IL,Chicago,1747 N Damen Ave,0,1,0,Webster's Wine Bar,(773) 292-9463,60647.0,IL,Chicago,2601 N. Milwaukee Avenue,0,0,0
33547,33547,557,616,Coast Sushi Bar,(773) 235-5775,60647.0,IL,Chicago,2045 N Damen Ave,1,1,0,Webster's Wine Bar,(773) 292-9463,60647.0,IL,Chicago,2601 N. Milwaukee Avenue,0,0,0
33562,33562,115,616,Wasabi,(773) 227-8180,60647.0,IL,Chicago,2115 N Milwaukee Ave,0,1,1,Webster's Wine Bar,(773) 292-9463,60647.0,IL,Chicago,2601 N. Milwaukee Avenue,0,0,0
33575,33575,788,616,O’Cha Thai Cuisine,(773) 235-6242,60647.0,IL,Chicago,2062 N Damen Ave,1,1,0,Webster's Wine Bar,(773) 292-9463,60647.0,IL,Chicago,2601 N. Milwaukee Avenue,0,0,0
33612,33612,304,505,Jim’s Original Hot Dog,(312) 733-7820,60607.0,IL,Chicago,1250 S Union Ave,0,1,0,Jim's Original,(312) 733-7820,60607.0,IL,Chicago,1250 S Union Avenue,0,1,0
33778,33778,1248,936,Malatesta Trattoria,(212) 741-1207,10014.0,NY,New York,649 Washington St,0,1,1,Fatty Crab,(212) 352-3590,10014.0,NY,New York,643 Hudson Street,1,1,1
33817,33817,2970,1771,Nopalito,(415) 233-9966,94122.0,CA,San Francisco,1224 9th Ave,0,1,1,Nopalito,(415) 233-9966,94122.0,CA,San Francisco,1224 9th Avenue,0,1,1
33820,33820,3023,1771,Nabe,(415) 731-2658,94122.0,CA,San Francisco,1325 9th Ave,0,1,0,Nopalito,(415) 233-9966,94122.0,CA,San Francisco,1224 9th Avenue,0,1,1
34095,34095,1241,1366,Sakagura,(212) 953-7253,10017.0,NY,New York,211 E 43rd St,0,0,0,Soba Totto,(212) 557-8200,10017.0,NY,New York,211 E 43rd Street,0,0,0
34342,34342,2974,1747,Curry Leaf,(415) 440-4293,94133.0,CA,San Francisco,943 Columbus Ave,0,1,1,Mona Lisa,(415) 989-4917,94133.0,CA,San Francisco,353 Columbus Avenue,0,1,1
34410,34410,2601,1747,Molinari Delicatessen,(415) 421-2337,94133.0,CA,San Francisco,373 Columbus Ave,0,1,1,Mona Lisa,(415) 989-4917,94133.0,CA,San Francisco,353 Columbus Avenue,0,1,1
34467,34467,2774,1747,Il Casaro Pizzeria & Mozzarella Bar,(415) 677-9455,94133.0,CA,San Francisco,348 Columbus Ave,0,1,0,Mona Lisa,(415) 989-4917,94133.0,CA,San Francisco,353 Columbus Avenue,0,1,1
34551,34551,2124,3297,Volunteer Park Cafe & Marketplace,(206) 328-3155,98112.0,WA,Seattle,1501 17th Ave E,0,1,1,Monsoon,(206) 325-2111,98112.0,WA,Seattle,615 19th Avenue E,1,1,1
34555,34555,2294,3297,Monsoon Seattle,(206) 325-2111,98112.0,WA,Seattle,615 19th Ave E,0,1,1,Monsoon,(206) 325-2111,98112.0,WA,Seattle,615 19th Avenue E,1,1,1
34610,34610,1227,745,Keens Steakhouse,(212) 947-3636,10018.0,NY,New York,72 W 36th St,0,1,0,Keens Steakhouse,(212) 947-3636,10018.0,NY,New York,72 W 36th Street,0,1,0
34851,34851,2999,1680,Il Pollaio,(415) 362-7727,94133.0,CA,San Francisco,555 Columbus Ave,0,1,0,L'Osteria Del Forno,(415) 982-1124,94133.0,CA,San Francisco,519 Columbus Avenue,0,1,0
34852,34852,3001,1680,Stella Pastry & Cafe,(415) 986-2914,94133.0,CA,San Francisco,446 Columbus Ave,0,1,0,L'Osteria Del Forno,(415) 982-1124,94133.0,CA,San Francisco,519 Columbus Avenue,0,1,0
34870,34870,2974,1680,Curry Leaf,(415) 440-4293,94133.0,CA,San Francisco,943 Columbus Ave,0,1,1,L'Osteria Del Forno,(415) 982-1124,94133.0,CA,San Francisco,519 Columbus Avenue,0,1,0
34881,34881,2601,1680,Molinari Delicatessen,(415) 421-2337,94133.0,CA,San Francisco,373 Columbus Ave,0,1,1,L'Osteria Del Forno,(415) 982-1124,94133.0,CA,San Francisco,519 Columbus Avenue,0,1,0
34882,34882,3004,1680,Franchino,(415) 982-2157,94133.0,CA,San Francisco,347 Columbus Ave,0,0,0,L'Osteria Del Forno,(415) 982-1124,94133.0,CA,San Francisco,519 Columbus Avenue,0,1,0
34884,34884,2633,1680,Piccolo Forno,(415) 757-0087,94133.0,CA,San Francisco,725 Columbus Ave,0,1,1,L'Osteria Del Forno,(415) 982-1124,94133.0,CA,San Francisco,519 Columbus Avenue,0,1,0
34892,34892,2774,1680,Il Casaro Pizzeria & Mozzarella Bar,(415) 677-9455,94133.0,CA,San Francisco,348 Columbus Ave,0,1,0,L'Osteria Del Forno,(415) 982-1124,94133.0,CA,San Francisco,519 Columbus Avenue,0,1,0
34906,34906,3001,2251,Stella Pastry & Cafe,(415) 986-2914,94133.0,CA,San Francisco,446 Columbus Ave,0,1,0,BurgerMeister,(415) 296-9907,94133.0,CA,San Francisco,759 Columbus Avenue,0,1,0
34989,34989,3051,1889,Contraband Coffee Bar,(415) 839-7388,94109.0,CA,San Francisco,1415 Larkin St,0,1,1,Contraband Coffee Bar,(415) 839-7388,94109.0,CA,San Francisco,1415 Larkin Street,0,0,1
35294,35294,2839,1591,Il Canto Cafe,(415) 986-6565,94111.0,CA,San Francisco,275 Battery St,0,1,0,Fog City,(415) 982-2000,94111.0,CA,San Francisco,1300 Battery Street,0,1,1
35381,35381,1593,1457,Hillstone Restaurant,(212) 689-1090,10010.0,NY,New York,378 Park Ave S,0,0,0,Hillstone,(212) 689-1090,10010.0,NY,New York,378 Park Avenue S,0,0,0
35390,35390,31,418,The Wormhole Coffee,(773) 661-2468,60622.0,IL,Chicago,1462 N Milwaukee Ave,0,1,1,The Silver Palm,(312) 666-9322,60622.0,IL,Chicago,768 N. Milwaukee Avenue,0,1,0
35395,35395,84,418,The Violet Hour,(773) 252-1500,60622.0,IL,Chicago,1520 N Damen Ave,0,0,0,The Silver Palm,(312) 666-9322,60622.0,IL,Chicago,768 N. Milwaukee Avenue,0,1,0
35410,35410,322,418,The Bongo Room,(773) 489-0690,60622.0,IL,Chicago,1470 N Milwaukee Ave,0,1,0,The Silver Palm,(312) 666-9322,60622.0,IL,Chicago,768 N. Milwaukee Avenue,0,1,0
35578,35578,3014,2163,Aperto Restaurant,(415) 252-1625,94107.0,CA,San Francisco,1434 18th St,0,1,1,Aperto,(415) 252-1625,94107.0,CA,San Francisco,1434 18th Street,0,1,0
35877,35877,2238,3478,Barrio Mexican Kitchen & Bar,(206) 588-8105,98122.0,WA,Seattle,1420 12th Ave,0,1,1,Stumptown Coffee Roasters,(206) 323-1544,98122.0,WA,Seattle,1115 12th Avenue,0,0,0
35882,35882,2351,3478,Oddfellows Cafe & Bar,(206) 325-0807,98122.0,WA,Seattle,1525 10th Ave,0,1,1,Stumptown Coffee Roasters,(206) 323-1544,98122.0,WA,Seattle,1115 12th Avenue,0,0,0
35932,35932,1791,3478,Stumptown Coffee Roasters,(206) 323-1544,98122.0,WA,Seattle,1115 12th Ave,0,1,1,Stumptown Coffee Roasters,(206) 323-1544,98122.0,WA,Seattle,1115 12th Avenue,0,0,0
36041,36041,108,3231,Publican Quality Meats,(312) 445-8977,60607.0,IL,Chicago,825 W Fulton Market St,0,1,1,Al's Italian Beef,(312) 226-4017,60607.0,IL,Chicago,1079 W Taylor Street,0,1,1
36070,36070,3018,2038,Humphry Slocombe Ice Cream,(415) 550-6971,94111.0,CA,San Francisco,1 Ferry Bldg,0,1,0,Humphry Slocombe,(415) 550-6971,94111.0,CA,San Francisco,Ferry Building,0,0,0
36129,36129,1366,914,Il Tinello Ristorante Italiano,(212) 245-4388,10019.0,NY,New York,16 W 56th St,0,0,0,Quality Meats,(212) 371-7777,10019.0,NY,New York,57 W 58th Street,0,0,0
36152,36152,2476,2183,KUSAKABE,(415) 757-0155,94111.0,CA,San Francisco,584 Washington St,0,0,0,Kusakabe,(415) 757-0155,94111.0,CA,San Francisco,584 Washington Street,0,0,0
36153,36153,2570,2183,Cafe Me,(415) 288-8628,94111.0,CA,San Francisco,500 Washington St,0,1,1,Kusakabe,(415) 757-0155,94111.0,CA,San Francisco,584 Washington Street,0,0,0
36257,36257,882,1148,Pylos,(212) 473-0220,10009.0,NY,New York,128 E 7th St,0,1,0,Pylos,(212) 473-0220,10009.0,NY,New York,128 E 7th Street,0,1,0
36288,36288,5,1,Alinea,(312) 867-0110,60614.0,IL,Chicago,1723 N Halsted St,0,0,0,Alinea,(312) 867-0110,60614.0,IL,Chicago,1723 N. Halsted Street,0,0,0
36291,36291,82,1,Sapori Trattoria,(312) 967-9358,60614.0,IL,Chicago,2701 N Halsted St,0,1,1,Alinea,(312) 867-0110,60614.0,IL,Chicago,1723 N. Halsted Street,0,0,0
36310,36310,366,1,Balena,(312) 867-3888,60614.0,IL,Chicago,1633 N Halsted St,1,1,0,Alinea,(312) 867-0110,60614.0,IL,Chicago,1723 N. Halsted Street,0,0,0
36341,36341,648,1,Aloha Eats,(773) 935-6828,60614.0,IL,Chicago,2534 N Clark St,1,1,0,Alinea,(312) 867-0110,60614.0,IL,Chicago,1723 N. Halsted Street,0,0,0
36350,36350,735,1,Stella Barra Pizzeria,(773) 634-4101,60614.0,IL,Chicago,1954 N Halsted St,0,1,1,Alinea,(312) 867-0110,60614.0,IL,Chicago,1723 N. Halsted Street,0,0,0
36351,36351,740,1,D O C Wine Bar,(773) 883-5101,60614.0,IL,Chicago,2602 N Clark St,0,0,0,Alinea,(312) 867-0110,60614.0,IL,Chicago,1723 N. Halsted Street,0,0,0
36383,36383,272,90,Naf Naf Grill,(312) 263-0019,60601.0,IL,Chicago,326 N Michigan Ave,0,1,0,Sweetwater Tavern and Grille,(312) 698-7111,60601.0,IL,Chicago,225 N Michigan Avenue,0,1,1
36398,36398,424,90,Two Zero Three,,60601.0,IL,Chicago,203 North Wabash Avenue,0,1,0,Sweetwater Tavern and Grille,(312) 698-7111,60601.0,IL,Chicago,225 N Michigan Avenue,0,1,1
36481,36481,2595,2321,La Folie,(415) 776-5577,94109.0,CA,San Francisco,2316 Polk St,0,0,0,Thai Idea Vegetarian,(415) 440-8344,94109.0,CA,San Francisco,710 Polk Street,0,1,0
36483,36483,2509,2321,Thai Idea Vegetarian,(415) 440-8344,94109.0,CA,San Francisco,710 Polk St,0,1,0,Thai Idea Vegetarian,(415) 440-8344,94109.0,CA,San Francisco,710 Polk Street,0,1,0
36484,36484,2514,2321,Ben Thai Cafe,(415) 771-2562,94109.0,CA,San Francisco,1331 Polk St,0,1,0,Thai Idea Vegetarian,(415) 440-8344,94109.0,CA,San Francisco,710 Polk Street,0,1,0
36489,36489,2690,2321,Swan Oyster Depot,(415) 673-1101,94109.0,CA,San Francisco,1517 Polk St,0,1,0,Thai Idea Vegetarian,(415) 440-8344,94109.0,CA,San Francisco,710 Polk Street,0,1,0
36653,36653,2447,1638,Frances,(415) 621-3870,94114.0,CA,San Francisco,3870 17th St,0,0,0,Frances,(415) 621-3870,94114.0,CA,San Francisco,3870 17th Street,0,0,0
36685,36685,67,321,Staropolska Restaurant,(773) 342-0779,60618.0,IL,Chicago,3030 N Milwaukee Ave,1,1,0,Cho Sun Ok,(773) 549-5555,60618.0,IL,Chicago,4200 N Lincoln Avenue,0,1,0
36800,36800,2604,1512,Delfina,(415) 552-4055,94110.0,CA,San Francisco,3621 18th St,0,1,0,Delfina,(415) 552-4055,94110.0,CA,San Francisco,3621 18th Street,0,1,1
