id,Name,Phone,Zipcode,State,City,Address,Delivery,Takeout,Outdoor_seating
779,Artisanal Fromagerie & Bistro,(212) 725-8585,10016,NY,New York,2 Park Avenue,0,1,0
780,Egg,(718) 302-5151,11249,NY,Brooklyn,109 N 3rd Street,0,1,0
781,Rosa Mexicano,(212) 977-7700,10023,NY,New York,61 Columbus Avenue,1,1,1
782,Locanda Verde,(212) 925-3797,10013,NY,New York,377 Greenwich Street,0,1,1
783,DBGB Kitchen & Bar,(212) 933-5300,10003,NY,New York,299 Bowery,0,1,1
784,The Meatball Shop,(212) 982-8895,10002,NY,New York,84 Stanton Street,0,0,1
785,Smith & Wollensky,(212) 753-1530,10022,NY,New York,797 3rd Avenue,1,0,0
786,Ess-a-Bagel,(212) 980-1010,10022,NY,New York,831 3rd Avenue,1,1,0
787,Adrienne's Pizza Bar,(212) 248-3838,10004,NY,New York,54 Stone Street,0,0,1
788,ABC Kitchen,(212) 475-5829,10003,NY,New York,35 E 18th Street,0,1,0
789,Clinton Street Baking Company,(646) 602-6263,10002,NY,New York,4 Clinton Street,1,1,0
790,John's of Bleecker Street,(212) 243-1680,10014,NY,New York,278 Bleecker Street,0,1,0
791,Lupa Osteria Romana,(212) 982-5089,10012,NY,New York,170 Thompson Street,0,0,0
792,Magnolia Bakery,(212) 767-1123,10020,NY,New York,1240 Avenue of the Americas,1,1,0
793,Ferrara Bakery & Cafe,(212) 226-6150,10013,NY,New York,195 Grand Street,0,0,0
794,The Standard Grill,(212) 645-4100,10014,NY,New York,The Standard High Line,0,0,1
795,Bubby's,(212) 219-0666,10013,NY,New York,120 Hudson Street,1,1,1
796,Del Frisco's Double Eagle Steakhouse,(212) 575-5129,10020,NY,New York,1221 6th Avenue,0,1,1
797,Beauty & Essex,(212) 614-0146,10002,NY,Lower East Side,146 Essex Street,0,0,0
798,Sarabeth's,(212) 826-5959,10019,NY,New York,40 Central Park S,1,1,1
799,Marea,(212) 582-5100,10021,NY,New York,240 Central Park South,0,0,0
800,Rice To Riches,(212) 274-0008,10012,NY,New York,37 Spring Street,1,1,0
801,Bar Americain,(212) 265-9700,10019,NY,New York,152 W 52nd Street,0,0,0
802,Grand Central Oyster Bar & Restaurant,(212) 490-6650,10017,NY,New York,Grand Central Terminal,0,0,0
803,Stanton Social,(212) 995-0099,10002,NY,New York,99 Stanton Street,0,0,0
804,Crif Dogs,(212) 614-2728,10009,NY,New York,113 St Marks Place,1,1,0
805,Ponty Bistro,(212) 777-1616,10003,NY,New York,218 3rd Avenue,1,1,0
806,The Breslin,(212) 679-1939,10001,NY,New York,16 W 29th Street,0,1,0
807,La Birreria - Eataly,(212) 937-8910,10010,NY,New York,Eataly,0,0,1
808,Republic,(212) 627-7172,10003,NY,New York,37 Union Square West,1,1,0
809,Nathan's Famous,(718) 946-2705,11224,NY,Brooklyn,Luna Park,0,1,1
810,Roberta's,(718) 417-1118,11206,NY,Brooklyn,261 Moore Street,1,1,0
811,Minetta Tavern,(212) 475-3850,10012,NY,New York,113 Macdougal Street,0,0,0
812,Bubba Gump Shrimp Co.,(212) 391-7100,10036,NY,New York,1501 Broadway,0,0,0
813,Boqueria,(212) 255-4160,10011,NY,New York,53 W 19th Street,1,1,0
814,Churrascaria Plataforma,(212) 245-0505,10019,NY,New York,316 W 49th Street,0,1,0
815,J.G. Melon,(212) 744-0585,10021,NY,New York,1291 3rd Avenue,0,1,1
816,Hard Rock Cafe,(212) 343-3355,10036,NY,New York,1501 Broadway,0,1,1
817,Schiller's Liquor Bar,(212) 260-4555,10002,NY,New York,131 Rivington Street,1,1,0
818,Mamoun's Falafel,(212) 674-8685,10012,NY,New York,119 MacDougal Street,0,1,1
819,The Smith,(212) 644-2700,10022,NY,New York,956 2nd Avenue,1,1,0
820,The Dining Room at The Modern,(212) 333-1220,10019,NY,New York,9 W 53rd Street,0,0,0
821,Totto Ramen,(212) 582-0052,10019,NY,New York,366 W 52nd Street,0,0,0
822,Amy Ruth's,(212) 280-8779,10026,NY,New York,113 W 116th Street,0,1,0
823,Ellen's Stardust Diner,(212) 956-5151,10019,NY,New York,1650 Broadway,0,1,1
824,Freemans,(212) 420-0012,10002,NY,New York,8 Rivington Street,0,0,0
825,Artichoke Basille's Pizza,(212) 228-2004,10003,NY,New York,328 East 14th Street,1,1,0
826,Mercer Kitchen,(212) 966-5454,10012,NY,New York,The Mercer,0,0,0
827,Del Posto,(212) 497-8090,10011,NY,New York,85 10th Avenue,0,0,0
828,Penelope,(212) 481-3800,10016,NY,New York,159 Lexington Avenue,1,1,0
829,Umami Burger,(212) 677-8626,10011,NY,New York,432 6th Avenue,0,1,0
830,The Little Owl,(212) 741-4695,10014,NY,New York,90 Bedford Street,0,1,0
831,L & B Spumoni Gardens,(718) 372-8400,11223,NY,Brooklyn,2725 86th Street,1,1,1
832,The View Restaurant & Lounge,(212) 704-8900,10036,NY,New York,New York Marriott Marquis Floor 47 & 48,0,0,0
833,Victor's Café,(212) 586-7714,10019,NY,New York,236 W 52nd Street,0,1,0
834,Craft,(212) 780-0880,10003,NY,New York,43 E 19th Street,0,0,0
835,Russ & Daughters,(212) 475-4880,10002,NY,New York,179 E Houston Street,0,1,0
836,Nobu 57,(212) 757-3000,10019,NY,New York,40 W 57th Street,1,1,0
837,Bagatelle,(212) 488-2110,10014,NY,New York,1 Little W 12th Street,0,0,1
838,Ippudo Westside,(212) 974-2500,10019,NY,New York,321 W 51st Street,0,0,0
839,Joe's Pizza,(212) 366-1182,10014,NY,New York,7 Carmine Street,1,1,0
840,Norma's,(212) 708-7460,10019,NY,New York,Le Parker Meridien Hotel,0,0,0
841,Carmine's,(212) 362-2200,10024,NY,New York,2450 Broadway,1,1,1
842,Pies 'N' Thighs,(347) 529-6090,11211,NY,Brooklyn,166 S 4th Street,1,1,0
843,Trattoria Dell'Arte,(212) 245-9800,10019,NY,New York,900 7th Avenue,0,1,1
844,Congee Village,(212) 941-1818,10002,NY,New York,100 Allen Street,1,1,0
845,Junoon,(212) 490-2100,10010,NY,New York,27 W 24th Street,0,1,0
846,Alta,(212) 505-7777,10011,NY,New York,64 W 10th Street,0,0,0
847,Maialino At Gramercy Park Hotel,(212) 777-2410,10010,NY,New York,2 Lexington Avenue,0,0,0
848,Sripraphai,(718) 899-9599,11377,NY,Queens,6413 39th Avenue,0,1,0
849,Union Square Cafe,,10003,NY,New York,101 East 19th Street,0,0,0
850,Sushi Yasuda,(212) 972-1001,10017,NY,New York,204 E 43rd Street,0,0,0
851,Veniero's Pasticceria & Caffe,(212) 674-7070,10003,NY,New York,342 E 11th Street,1,1,1
852,Guy's American Kitchen & Bar,(646) 532-9533,10036,NY,New York,220 W 44th Street,0,1,0
853,Casa Mono,(212) 253-2773,10003,NY,New York,52 Irving Place,0,0,0
854,Jane,(212) 254-7000,10012,NY,New York,100 W Houston Street,1,1,0
855,Doughnut Plant,(212) 675-9100,10011,NY,New York,220 Between 7th & 8th Avenue,0,1,0
856,Bouchon Bakery & Cafe,(212) 823-9366,10019,NY,New York,Time Warner Center,0,1,0
857,Blue Water Grill,(212) 675-9500,10003,NY,New York,31 Union Square West,0,1,1
858,Negril Village,(212) 477-2804,10012,NY,New York,70 W 3rd Street,1,1,0
859,Toloache 50,(212) 581-1818,10019,NY,New York,251 W 50th Street,0,1,0
860,Red Rooster,(212) 792-9001,10027,NY,New York,310 Lenox Avenue,0,0,1
861,Luke's Lobster,(212) 387-8487,10009,NY,New York,93 E 7th Street,1,1,0
862,Lobster Place,(212) 255-5672,10011,NY,New York,Chelsea Market,1,0,0
863,Bar Pitti,(212) 982-3300,10014,NY,New York,268 6th Avenue,0,0,1
864,Prune,(212) 677-6221,10003,NY,New York,54 E 1st Street,0,0,0
865,The Odeon,(212) 233-0507,10013,NY,New York,145 W Broadway,1,1,1
866,Rue 57,(212) 307-5656,10019,NY,New York,60 W 57th Street,1,1,1
867,Taverna Kyclades,(718) 545-8666,11105,NY,Astoria,33-07 Ditmars Boulevard,1,1,1
868,Candle 79,(212) 537-7179,10021,NY,New York,154 E 79th Street,0,0,0
869,McSorley's Old Ale House,(212) 473-9148,10003,NY,New York,15 E 7th Street,0,0,0
870,The Malt House,(646) 682-7577,10038,NY,New York,9 Maiden Lane,0,0,0
871,The Smith,(212) 420-9800,10003,NY,New York,55 3rd Avenue,1,1,0
872,La Mela,(212) 431-9493,10013,NY,New York,167 Mulberry Street,0,1,1
873,Chinatown Ice Cream Factory,(212) 608-4170,10013,NY,New York,65 Bayard Street,0,0,0
874,Havana Central,(212) 398-7440,10036,NY,New York,151 W 46th Street,1,1,0
875,Trattoria Trecolori,(212) 997-4540,10036,NY,New York,254 W 47th Street,0,1,0
876,Sylvia's Restaurant,(212) 996-0660,10027,NY,New York,328 Malcolm X Boulevard,0,1,1
877,Blue Hill,(212) 539-1776,10011,NY,New York,75 Washington Place,0,0,0
878,Wo Hop,(212) 566-3841,10013,NY,New York,17 Mott Street,0,1,0
879,Magnolia Bakery,(212) 462-2572,10023,NY,New York,200 Columbus Avenue,0,1,1
880,ilili Restaurant,(212) 683-2929,10001,NY,New York,236 5th Avenue,0,1,0
881,Wafels & Dinges,(866) 429-7329,10013,NY,New York,Multiple Locations,0,0,0
882,The Red Cat,(212) 242-1122,10011,NY,New York,227 10th Avenue,0,1,0
883,Blue Ribbon Sushi,(212) 343-0404,10012,NY,New York,119 Sullivan Street,0,1,0
884,Catch,(212) 392-5978,10014,NY,New York,21 9th Avenue,0,0,1
885,Tia Pol,(212) 675-8805,10011,NY,New York,205 10th Avenue,0,1,0
886,A Salt & Battery,(212) 691-2713,10011,NY,New York,112 Greenwich Avenue,1,1,0
887,Fig & Olive,(212) 924-1200,10014,NY,New York,420 W 13th Street,0,0,1
888,Old Homestead Steakhouse,(212) 242-9040,10011,NY,New York,56 9th Avenue,0,1,1
889,Di Fara,(718) 258-1367,11230,NY,Brooklyn,1424 Avenue J,0,1,0
890,Blue Fin,(212) 918-1400,10036,NY,New York,W Hotel,0,0,0
891,Baohaus,(646) 669-8889,10003,NY,New York,238 E 14th Street,0,1,0
892,Scarpetta,(212) 691-0555,10014,NY,New York,355 W 14th Street,0,1,1
893,Il Buco Alimentari e Vineria,(212) 837-2622,10012,NY,New York,53 Great Jones Street,1,1,1
894,Boqueria,(212) 343-4255,10012,NY,New York,171 Spring Street,0,1,0
895,The City Bakery,(212) 366-1414,10011,NY,New York,3 W 18th Street,1,1,0
896,Barbuto,(212) 924-9700,10014,NY,New York,775 Washington Street,0,0,1
897,Aquagrill,(212) 274-0505,10012,NY,New York,210 Spring Street,0,1,1
898,Blossom,(212) 627-1144,10011,NY,New York,187 9th Avenue,0,1,0
899,Rosa Mexicano,(212) 533-3350,10003,NY,New York,9 East 18th Street,1,1,0
900,Asia de Cuba,(212) 726-7755,10003,NY,New York,415 Lafayette Street,0,0,0
901,Motorino,(212) 777-2644,10003,NY,New York,349 E 12th Street,1,1,0
902,Marseille,(212) 333-2323,10036,NY,New York,630 9th Avenue,0,1,1
903,Billy's Bakery,(212) 647-9956,10011,NY,New York,184 9th Avenue,1,1,1
904,Craftbar,(212) 461-4300,10003,NY,New York,900 Broadway,0,0,0
905,Buttermilk Channel,(718) 852-8490,11231,NY,Brooklyn,524 Court Street,0,1,1
906,Les Halles,(212) 285-8585,10038,NY,New York,15 John Street,1,1,0
907,Supper,(212) 477-7600 (212) 420-0040,10009,NY,New York,156 E 2nd Street,0,1,1
908,Diner,(718) 486-3077,11211,NY,Brooklyn,85 Broadway,0,1,1
909,Fig & Olive,(212) 319-2002,10022,NY,New York,10 E 52nd Street,1,1,0
910,Public,(212) 343-0918,10012,NY,New York,210 Elizabeth Street,0,1,1
911,230 Fifth,(212) 725-4300,10001,NY,New York,230 5th Avenue,0,0,0
912,Colicchio & Sons,(212) 400-6699,10011,NY,New York,85 10th Avenue,0,0,0
913,The Dutch,(212) 677-6200,10012,NY,New York,131 Sullivan Street,0,1,1
914,Quality Meats,(212) 371-7777,10019,NY,New York,57 W 58th Street,0,0,0
915,The NoMad Restaurant,(212) 796-1500,10001,NY,New York,10 W 28th Street,0,0,0
916,Esca,(212) 564-7272,10036,NY,New York,402 W 43rd Street,0,1,1
917,Tony's Di Napoli,(212) 888-6333,10036,NY,New York,147 W 43rd Street,1,1,0
918,Beyoglu,(212) 650-0850,10028,NY,New York,1431 3rd Avenue,0,1,1
919,Jack's Wife Freda,(212) 510-8550,10012,NY,New York,224 Lafayette Street,1,1,1
920,Sparks Steak House,(212) 687-4855,10017,NY,New York,210 E 46th Street,0,0,0
921,Ichi Umi,(212) 725-1333,10016,NY,New York,6 E 32nd Street,0,1,0
922,Nyonya,(212) 334-3669,10013,NY,New York,199 Grand Street,1,1,0
923,2nd Ave Deli,(212) 689-9000,10016,NY,New York,162 E 33rd Street,1,1,0
924,Santina,(212) 254-3000,10014,NY,New York,820 Washington Street,0,0,0
925,db Bistro Moderne,(212) 391-2400,10036,NY,New York,City Club Hotel,0,0,0
926,The Grey Dog,(212) 462-0041,10014,NY,New York,49 Carmine Street,1,1,0
927,Dirt Candy,(212) 228-7732,10002,NY,New York,86 Allen Street,0,0,0
928,Casellula Cheese and Wine Cafe,(212) 247-8137,10019,NY,New York,401 West 52nd Street,0,0,0
929,Alice's Tea Cup Chapter I,(212) 799-3006,10023,NY,New York,102 W 73rd Street,0,0,0
930,Amy's Bread,(212) 977-2670,10036,NY,New York,672 9th Avenue,1,1,0
931,Momofuku Ko,(212) 203-8095,10003,NY,New York,8 Extra Place,0,0,0
932,Le Cirque,(212) 644-0202,10022,NY,New York,151 East 58th Street,1,1,0
933,Morandi,(212) 627-7575,10014,NY,New York,211 Waverly Place,1,1,0
934,Strip House,(212) 328-0000,10003,NY,New York,13 E 12th Street,0,0,0
935,Grotta Azzurra Ristorante,(212) 925-8775,10013,NY,New York,177 Mulberry Street,1,1,1
936,Fatty Crab,(212) 352-3590,10014,NY,New York,643 Hudson Street,1,1,1
937,Isabella's,(212) 724-2100,10024,NY,New York,359 Columbus Avenue,0,1,1
938,Brick Lane Curry House,(212) 979-2900 (212) 979-8787,10003,NY,New York,99 2nd Avenue,1,1,0
939,Big Gay Ice Cream Shop,(212) 533-9333,10009,NY,New York,125 E 7th Street,0,1,0
940,Dos Caminos,(212) 277-4300,10012,NY,New York,475 W Broadway,0,1,1
941,New Topaz,(212) 957-8020,10019,NY,New York,127 W 56th Street,1,1,0
942,Daisy May's BBQ USA,(212) 977-1500,10036,NY,New York,623 11th Avenue,1,1,0
943,Nai Tapas,(212) 677-1030,10009,NY,New York,174 1st Avenue,0,0,1
944,STK,(646) 624-2444,10014,NY,New York,26 Little West 12th Street,1,1,0
945,Dos Caminos,(212) 336-5400,10022,NY,New York,825 3rd Avenue,1,1,1
946,Red Bamboo,(212) 260-1212,10012,NY,New York,140 W 4th Street,1,1,0
947,Tribeca Grill,(212) 941-3900,10013,NY,New York,375 Greenwich Street,0,1,0
948,Kefi,(212) 873-0205,10024,NY,New York,505 Columbus Avenue,1,1,0
949,La Pizza & La Pasta - Eataly,(212) 539-0205,10010,NY,New York,Eataly,0,1,0
950,Room Service,(212) 582-0999,10036,NY,New York,690 9th Avenue,1,1,0
951,Olive Garden,(212) 333-3254,10036,NY,New York,2 Times Square,0,1,0
952,Ai Fiori,(212) 613-8660,10018,NY,New York,400 2nd Floor 5th Avenue,0,0,0
953,Pearl Oyster Bar,(212) 691-8211,10014,NY,New York,18 Cornelia Street,0,0,0
954,Utsav,(212) 575-2525,10036,NY,New York,1185 Avenue of the Americas,1,1,0
955,Avlee Greek Kitchen,(718) 855-5125,11231,NY,Brooklyn,349 Smith Street,1,1,1
956,Brooklyn Diner,(212) 265-5400,10036,NY,New York,155 West 43rd Street,1,0,0
957,Soba-Ya,(212) 533-6966,10003,NY,New York,229 East 9th Street,0,1,0
958,Five Napkin Burger,(212) 333-4488,10024,NY,New York,2315 Broadway,0,1,1
959,Uva,(212) 472-4552,10075,NY,New York,1486 2nd Avenue,0,0,1
960,RedFarm,(212) 792-9700,10014,NY,New York,529 Hudson Street,1,1,0
961,Dim Sum Go Go,(212) 732-0797 (212) 732-0796,10038,NY,New York,5 E Broadway,1,1,0
962,Pam Real Thai Food 49,(212) 333-7500,10019,NY,New York,404 W 49th Street,1,1,0
963,Angelo's Pizza,(212) 333-4333,10019,NY,New York,117 W 57th Street,1,1,0
964,Raoul's,(212) 966-3518,10012,NY,New York,180 Prince Street,0,0,0
965,Landmarc,(212) 823-6123,10019,NY,New York,Time Warner Center,1,1,0
966,Lure Fishbar,(212) 431-7676,10012,NY,New York,142 Mercer Street,0,1,0
967,Molyvos,(212) 582-7500,10019,NY,New York,Wellington Hotel,0,0,0
968,Land Thai Kitchen,(212) 501-8121,10024,NY,New York,450 Amsterdam Avenue,1,1,1
969,Don Antonio By Starita,(646) 719-1043,10019,NY,New York,309 W 50th Street,1,1,0
970,Bareburger,(718) 777-7011,11106,NY,Astoria,3321 31st Avenue,1,1,1
971,Great N.Y. Noodletown,(212) 349-0923,10013,NY,New York,28 Bowery,1,1,0
972,Good Enough To Eat,(212) 496-0163,10024,NY,New York,520 Columbus Avenue,1,1,1
973,La Bonne Soupe,(212) 586-7650,10019,NY,New York,48 W 55th Street,1,1,0
974,Rubirosa,(212) 965-0500,10012,NY,New York,235 Mulberry Street,1,1,0
975,Rosa Mexicano,(212) 753-7407,10022,NY,New York,1063 1st Avenue,1,1,0
976,Sardi's,(212) 221-8440,10036,NY,New York,234 W 44th Street,0,1,0
977,Dovetail,(212) 362-3800,10024,NY,New York,103 West 77th Street,0,0,0
978,Lakeside Restaurant - The Loeb Boathouse Central Park,(212) 517-2233,10021,NY,New York,East 72nd Street & Park Drive North,0,0,1
979,Nice Matin,(212) 873-6423,10024,NY,New York,201 W 79th Street,0,1,1
980,Hill Country Barbeque Market,(212) 257-6446,10010,NY,New York,1123 Broadway,1,1,0
981,Il Buco,(212) 533-1932,10012,NY,New York,47 Bond Street,0,0,1
982,Junior's Restaurant,(718) 852-5257,11238,NY,Brooklyn,386 Flatbush Avenue,1,1,1
983,Five Leaves,(718) 383-5345,11222,NY,Brooklyn,18 Bedford Avenue,0,0,1
984,Pure Thai Cookhouse,(212) 581-0999,10019,NY,New York,766 9th Avenue Unit 2,1,0,0
985,Sakagura,(212) 953-7253,10017,NY,New York,211 E 43rd Street,0,0,0
986,Hundred Acres,(212) 475-7500,10012,NY,New York,38 MacDougal Street,0,1,0
987,Friend of a Farmer,(212) 477-2188,10003,NY,New York,77 Irving Place,1,1,1
988,The Fat Radish,(212) 300-4053,10002,NY,New York,17 Orchard Street,0,0,0
989,Socarrat Paella Bar,(212) 462-1000,10011,NY,New York,259 West 19th Street,0,1,1
990,Peking Duck House,(212) 227-1810,10013,NY,New York,28 Mott Street,0,1,0
991,Bar Boulud,(212) 595-0303,10023,NY,New York,1900 Broadway,0,0,1
992,New Wonjo,(212) 695-5815,10001,NY,New York,23 W 32nd Street,0,1,0
993,ABC Cocina,(212) 677-2233,10003,NY,New York,38 E 19th Street,0,1,1
994,The Kunjip,(212) 564-6845,10001,NY,New York,32 W 32nd Street,0,1,0
995,Joya,(718) 222-3484,11201,NY,Brooklyn,215 Court Street,1,1,1
996,Aquavit,(212) 307-7311,10022,NY,New York,65 E 55th Street,0,0,0
997,Ed's Lobster Bar,(212) 343-3236,10012,NY,New York,222 Lafayette Street,0,1,0
998,Schnipper's Quality Kitchen,(212) 921-2400,10018,NY,New York,620 8th Avenue,1,1,1
999,Song,(718) 965-1108,11215,NY,Brooklyn,295 5th Avenue,1,1,0
1000,Sushisamba,(212) 691-7885,10014,NY,New York,87 7th Avenue South,0,1,1
1001,Tao Downtown,(212) 888-2724,10011,NY,New York,92 9th Avenue,0,0,0
1002,Extra Virgin,(212) 691-9359,10014,NY,New York,259 W 4th Street,1,1,0
1003,Frankies 457 Spuntino,(718) 403-0033,11231,NY,Brooklyn,457 Court Street,1,1,1
1004,Bill's Bar & Burger,(212) 705-8510 (646) 439-1475,10019,NY,New York,16 W 51st Street,1,1,0
1005,Cafe Fiorello,(212) 595-5330,10023,NY,New York,1900 Broadway,0,1,1
1006,Nougatine,(212) 299-3900,10023,NY,New York,1 Central Park West,0,0,0
1007,Blue Ribbon Bakery,(212) 337-0404,10014,NY,New York,34 Downing Street,1,1,0
1008,Co.,(212) 243-1105,10001,NY,New York,230 9th Avenue,1,1,1
1009,La Maison du Macaron,(212) 243-2757,10011,NY,New York,132 W 23rd Street,1,1,0
1010,Golden Unicorn,(212) 941-0911,10002,NY,New York,18 E Broadway,0,1,0
1011,Aureole,(212) 319-1660 (212) 319-1660,10036,NY,New York,135 W 42nd Street,0,0,0
1012,Mighty Quinn's Barbeque,(212) 677-3733,10003,NY,New York,103 2nd Avenue,1,1,1
1013,Jing Fong,(212) 964-5256,10013,NY,New York,20 Elizabeth Street,1,1,0
1014,L'Artusi,(212) 255-5757,10014,NY,New York,228 West 10th Street,0,0,0
1015,Ninja New York,(212) 274-8500,10013,NY,New York,25 Hudson Street,0,0,0
1016,Angelica Kitchen,(212) 228-2909,10003,NY,New York,300 E 12th Street,0,1,0
1017,Joy Burger Bar,(212) 289-6222,10029,NY,New York,1567 Lexington Avenue,1,1,0
1018,Cafe Orlin,(212) 777-1447,10003,NY,New York,41 St Marks Place,0,1,1
1019,EN Japanese Brasserie,(212) 647-9196,10014,NY,New York,435 Hudson Street,1,1,0
1020,Dell'Anima,(212) 366-6633,10014,NY,New York,38 8th Avenue,0,1,0
1021,Nom Wah Tea Parlor,(212) 962-6047,10013,NY,New York,13 Doyers Street,0,1,0
1022,Vanessa's Dumpling House,(212) 625-8008,10002,NY,New York,118A Eldridge Street,0,1,0
1023,Heartland Brewery & Chophouse,(646) 366-0235,10036,NY,New York,127 W 43rd Street,0,1,0
1024,Yakitori Taisho,(212) 228-5086,10003,NY,New York,5 St. Marks Place,0,0,1
1025,Benjamin Steakhouse - Dylan Hotel,(914) 428-6868,10017,NY,New York,Dylan Hotel,1,1,0
1026,Sugar Sweet Sunshine,(212) 995-1960,10002,NY,New York,126 Rivington Street,1,1,0
1027,Miss Korea BBQ,(212) 594-4963,10001,NY,New York,10 W 32nd Street,0,1,0
1028,44 & X Hell's Kitchen,(212) 977-1170,10036,NY,New York,622 10th Avenue,0,1,1
1029,Cleopatra's Needle,(212) 769-6969,10025,NY,New York,2485 Broadway,0,1,1
1030,Murray's Bagels,(646) 638-1334,10011,NY,New York,242 8th Avenue,1,1,0
1031,Il Bambino,(718) 626-0087,11106,NY,Queens,34-08 31st Avenue,1,1,1
1032,Root & Bone,(646) 682-7080,10009,NY,New York,200 E 3rd Street,0,0,1
1033,Denino's Pizzeria & Tavern,(718) 442-9401,10302,NY,New York,524 Port Richmond Avenue,0,1,0
1034,The Mermaid Inn,(212) 674-5870,10003,NY,New York,96 2nd Avenue,0,0,1
1035,Porchetta,(212) 777-2151,10009,NY,New York,110 East 7th Street,1,1,1
1036,Peter Pan Donut & Pastry Shop,(718) 389-3676,11222,NY,Brooklyn,727 Manhattan Avenue,0,1,0
1037,Avra,(212) 759-8550,10017,NY,New York,141 E 48th Street,0,1,1
1038,Basta Pasta,(212) 366-0888,10011,NY,New York,37 W 17th Street,0,1,0
1039,Pershing Square,(212) 286-9600,10017,NY,New York,90 E 42nd Street,0,1,1
1040,Mooncake Foods,(212) 219-8888,10013,NY,New York,28 Watts Street,1,1,0
1041,Patzeria Perfect Pizza,(212) 575-7646,10036,NY,New York,231 W 46th Street,0,1,0
1042,Ornella Trattoria,(718) 777-9477,11105,NY,Queens,29-17 23rd Avenue,1,1,0
1043,El Centro,(646) 763-6585,10019,NY,New York,824 9th Avenue,1,1,1
1044,DuMont Burger,(718) 384-6127,11211,NY,Brooklyn,314 Bedford Avenue,1,1,1
1045,Bleecker Street Pizza,(212) 924-4466,10014,NY,New York,69 7th Avenue S,1,1,1
1046,Pure Food and Wine,(212) 477-1010,10003,NY,New York,54 Irving Place,0,0,1
1047,Kodama Sushi,(212) 582-8065,10036,NY,New York,301 W 45th Street,1,1,0
1048,Estiatorio Milos,(212) 245-7400,10019,NY,New York,125 W 55th Street,0,0,0
1049,Angelo's of Mulberry St.,(212) 966-1277,10013,NY,New York,146 Mulberry Street,0,1,1
1050,Morini Osteria,(212) 965-8777,10012,NY,New York,218 Lafayette Street,1,1,0
1051,Delicatessen,(212) 226-0211,10012,NY,New York,54 Prince Street,1,1,1
1052,Ruchi Indian Cuisine,(212) 227-8454,10006,NY,New York,120 Cedar Street,1,1,0
1053,Tarallucci E Vino,(212) 228-5400,10003,NY,New York,15 E 18th Street,0,1,1
1054,Markt,(212) 727-3314,10010,NY,New York,676 6th Avenue,0,0,1
1055,Yakitori Totto,(212) 245-4555,10019,NY,New York,251 West 55th Street,0,0,0
1056,Buvette,(212) 255-3590,10014,NY,New York,42 Grove Street,0,0,0
1057,Redeye Grill,(212) 541-9000,10019,NY,New York,890 7th Avenue,1,1,1
1058,Heidelberg Restaurant,(212) 628-2332,10028,NY,New York,1648 2nd Avenue,0,1,1
1059,Il Laboratorio Del Gelato,(212) 343-9922,10002,NY,New York,188 Ludlow Street,0,1,0
1060,Marc Forgione,(212) 941-9401,10013,NY,New York,134 Reade Street,0,0,1
1061,David Burke Fishtail,(212) 754-1300 (212) 754-1300,10065,NY,New York,135 East 62nd St,1,1,1
1062,Yum Yum Bangkok,(212) 262-7244,10036,NY,New York,650 9th Avenue,1,1,0
1063,Gennaro,(212) 665-5348,10025,NY,New York,665 Amsterdam Avenue,1,1,0
1064,Eileen's Special Cheesecake,(212) 966-5585,10012,NY,New York,17 Cleveland Place,1,1,0
1065,Big Wong,(212) 964-0540,10013,NY,New York,67 Mott Street,0,1,0
1066,Sake Bar Hagi,(212) 764-8549,10019,NY,New York,152 W 49th Street,0,0,0
1067,Thai Select,(212) 695-9920 (212) 695-9930,10018,NY,New York,472 9th Avenue,1,1,0
1068,Stumptown Coffee Roasters,(347) 414-7805,10016,NY,New York,20 W 29th Street,0,0,0
1069,Jimbo's Restaurant & Bar,(718) 204-2672,11102,NY,Queens,30-05 Astoria Boulevard,1,1,0
1070,Rare Bar & Grill,(212) 481-1999,10016,NY,New York,303 Lexington Avenue,0,1,1
1071,Peasant,(212) 965-9511,10012,NY,New York,194 Elizabeth Street,0,0,0
1072,Cascabel Taqueria,(212) 717-8226,10028,NY,New York,1556 2nd Avenue,1,1,1
1073,Murray's Bagels,(212) 462-2830,10011,NY,New York,500 Sixth Avenue,1,1,0
1074,ChikaLicious Dessert Bar,(212) 995-9511,10003,NY,New York,203 East 10th Street,0,0,0
1075,Dos Caminos,(212) 294-1000,10016,NY,New York,373 Park Avenue South,0,1,0
1076,Sanford's Restaurant,(718) 932-9569,11106,NY,Queens,30-13 Broadway,1,1,0
1077,Nizza,(212) 956-1800,10036,NY,New York,630 9th Avenue,1,1,1
1078,Excellent Dumpling House,(212) 219-0212 (212) 219-0213,10013,NY,New York,111 Lafayette Street,0,1,0
1079,Crispo,(212) 229-1818,10011,NY,New York,240 W 14th Street,0,0,1
1080,Dos Caminos,(212) 699-2400,10014,NY,New York,675 Hudson Street,0,0,1
1081,Joe's Shanghai Resturant,(718) 539-3838 (718) 539-4429,11354,NY,Queens,136-21 37th Avenue,0,1,0
1082,Le Grainne Cafe,(646) 486-3000,10011,NY,New York,183 9th Avenue,0,0,1
1083,PDT (Please Don't Tell),(212) 614-0386,10009,NY,New York,113 Saint Marks Place,0,0,0
1084,Red Lobster,(212) 730-6706,10036,NY,New York,5 Times Square,0,1,0
1085,Giovanni Rana Pastificio & Cucina,(212) 370-0975,10011,NY,New York,Chelsea Market,0,1,1
1086,Betony,(212) 465-2400,10019,NY,New York,41 West 57th Street,0,0,0
